,URL,HASH,ID,DATE,CONTENT,UPDATE_DATE,SEARCH_TEXT,AREA
61,/p/Bp8Ld6Rgwc8/,"#경기문화재단,#경기문화예술교육지원센터,#이벤트,#이벤트그램,#이벤트스타그램,#스타벅스,#스타벅스아메리카노,#기프티콘,#문화예술교육,#한국문화예술교육진흥원,#꿈다락토요문화학교,#지역특성화문화예술교육,#맘,#경기,#경기맘,#엄마,#가족,#가정,#어린이,#놀이",ggarte.ggcf,2018-11-09 00:00:00,"Instagram의 경기문화예술교육지원센터님: “🌱경기센터 댓글 남기기 이벤트🌱
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
11월의 이벤트는 ""관심있는 문화예술교육 프로그램 분야 투표하기""입니다🤗
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
위의 보기 중 여러분이 관심있는…”",2019-10-31,한국문화예술교육진흥원,경기
62,/p/BwRRjdCno1s/,"#경기문화재단,#경기문화예술교육지원센터,#문화예술교육,#예술교육,#예술강사,#한국문화예술교육진흥원,#지역예술,#지특,#경기도예술교육,#경기도예술,#경기도문화",ggarte.ggcf,2019-04-15 00:00:00,"Instagram의 경기문화예술교육지원센터님: “기특하다? 지특하다! 🎲
올해 경기문화예술교육지원센터랑 지특할 준비된 사람~? 🤗
우리 모두 ""지특""해요~💗🎵 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#경기문화재단…”",2019-10-31,한국문화예술교육진흥원,경기
63,/p/B4Q6Fw8AHZI/,"#한국문화예술교육진흥원,#학교예술강사,#지원사업협력수업,#디베이스미디어",dbasemedia,2019-10-31 00:00:00,"Instagram의 디베이스미디어님: “안산에 한 초등학교에 왔습니다!
⠀
저희가 이번에 제작하는 컨텐츠는 학교에서 실행되고 있는'학교 예술강사 지원사업','협력수업'입니다.
⠀
학생들의 문화예술교육 수업의 깊이 있는 체험을 위해 초중고등학교에서 실행되고 있는 수업인데요, 무엇보다…”",2019-10-31,한국문화예술교육진흥원,-
64,/p/B4PfWVTJi7t/,"#대전문화재단,#2019아티언스대전,#아티언스대전,#2019아티언스캠프,#M042,#대전광역시,#문화체육관광부,#한국문화예술교육진흥원",daejeoncaf,2019-10-30 00:00:00,"Instagram의 대전문화재단의 공식 인스타그램입니다💕님: “-
[시민기자단] 예술과 과학을 매개로 함께 꿈꾸고 상상하는 소통의 장, 2019 아티언스 캠프
-
아티언스(Artience)를 누구나 쉽게 경험(Acivity)하고, 놀이(Amusement)로 즐겨보자는 의미를 담은 '2019 아티언스 캠프 -…”",2019-10-31,한국문화예술교육진흥원,대전
65,/p/B4NBCs4Fnmz/,"#할로윈사탕,#아트로스튜디오,#아트로,#로미💕,#문화예술교육,#예술이야기,#한국문화예술교육진흥원,#스토리텔링,#홈미술,#홈스쿨,#오창홈스쿨,#오창미술,#아동미술,#초등미술,#영어미술,#청주미술,#꼬마예술가,#미술학원,#취미미술,#오창미술학원,#엘리트어린이집,#양청초,#청원초,#양청초병설유치원,#은성유치원,#비봉유치원,#오창롯데캐슬,#오창롯데캐슬더하이스트,#자연유치원,#목령어린이집",artro_studio,2019-10-29 00:00:00,"Instagram의 아트로 스튜디오님: “할로윈~~🎃👻
.
.
#할로윈사탕 #아트로스튜디오 #아트로 #로미💕 #문화예술교육 #예술이야기 #한국문화예술교육진흥원 #스토리텔링 #홈미술 #홈스쿨 #오창홈스쿨 #오창미술 #아동미술 #초등미술 #영어미술 #청주미술 #꼬마예술가 #미술학원 #취미미술…”",2019-10-31,한국문화예술교육진흥원,-
66,/p/B4MkSkjlVXE/,"#mindspace,#마인드스페이스,#2019,#기업강의,#기업교육,#조직문화,#예술심리치료,#강의,#교육,#출강,#기업출강,#워크숍,#강사,#한국문화예술교육진흥원,#아르떼,#문화예술,#나키움아뜰리에,#서울가톨릭사회복지회,#자원만들기",mindspace_korea,2019-10-29 00:00:00,"Instagram의 mindspace님: “이번년도 나는 어떠한 사람이었을까요? 나란 사람은 어떠한 색을 갖고 있을까요?.
.
.
나키움 아뜰리아에서는 이번년도 나를 돌아보는 시간을 가졌습니다.  그리고 나의 색을 찾아 또 하나의 자원을 만들었습니다.
.
.
나를 돌보는 작업이야말로 우리가…”",2019-10-31,한국문화예술교육진흥원,서울
67,/p/B4Lu7tXF5Ub/,"#빅데이터,#한국문화예술위원회,#지역문화진흥원,#한국문화예술교육진흥원,#한국예술인복지재단",newspaper.munhak,2019-10-29 00:00:00,"Instagram의 문학신문 뉴스페이퍼님: “한국문화예술위원회, 지역문화진흥원, 한국문화예술교육진흥원, 한국예술인복지재단은 10월 22일(목), 한국문화예술위원회 예술가의집에서 ‘데이터 융합·협력·확산을 위한 빅데이터 공유 업무협정’을 체결하였다.

이번 협약은 문화예술기관 간 상호 협력을…”",2019-10-31,한국문화예술교육진흥원,-
68,/p/B4Ko8XplC-M/,"#아트로스튜디오,#아트로,#로미💕,#문화예술교육,#예술이야기,#한국문화예술교육진흥원,#스토리텔링,#홈미술,#홈스쿨,#오창홈스쿨,#오창미술,#아동미술,#초등미술,#영어미술,#청주미술,#꼬마예술가,#미술학원,#취미미술,#오창미술학원,#엘리트어린이집,#양청초,#청원초,#양청초병설유치원,#은성유치원,#비봉유치원,#오창롯데캐슬,#오창롯데캐슬더하이스트,#자연유치원,#목령어린이집",artro_studio,2019-10-28 00:00:00,"Instagram의 아트로 스튜디오님: “😝😛😜 슬라임같다고~ .
.
#아트로스튜디오 #아트로 #로미💕 #문화예술교육 #예술이야기 #한국문화예술교육진흥원 #스토리텔링 #홈미술 #홈스쿨 #오창홈스쿨 #오창미술 #아동미술 #초등미술 #영어미술 #청주미술 #꼬마예술가 #미술학원 #취미미술…”",2019-10-31,한국문화예술교육진흥원,-
69,/p/B4KoNoGlrMH/,"#이름한번길군,#아트로스튜디오,#아트로,#로미💕,#문화예술교육,#예술이야기,#한국문화예술교육진흥원,#스토리텔링,#홈미술,#홈스쿨,#오창홈스쿨,#오창미술,#아동미술,#초등미술,#영어미술,#청주미술,#꼬마예술가,#미술학원,#취미미술,#오창미술학원,#엘리트어린이집,#양청초,#청원초,#양청초병설유치원,#은성유치원,#비봉유치원,#오창롯데캐슬,#오창롯데캐슬더하이스트,#자연유치원,#목령어린이집",artro_studio,2019-10-28 00:00:00,"Instagram의 아트로 스튜디오님: “할로윈왕왕호박막대사탕🍭🍬🍫🎃
.
.
#이름한번길군 #아트로스튜디오 #아트로 #로미💕 #문화예술교육 #예술이야기 #한국문화예술교육진흥원 #스토리텔링 #홈미술 #홈스쿨 #오창홈스쿨 #오창미술 #아동미술 #초등미술 #영어미술 #청주미술 #꼬마예술가…”",2019-10-31,한국문화예술교육진흥원,-
70,/p/B4Kn44Mlfb4/,"#아트로스튜디오,#아트로,#로미💕,#문화예술교육,#예술이야기,#한국문화예술교육진흥원,#스토리텔링,#홈미술,#홈스쿨,#오창홈스쿨,#오창미술,#아동미술,#초등미술,#영어미술,#청주미술,#꼬마예술가,#미술학원,#취미미술,#오창미술학원,#엘리트어린이집,#양청초,#청원초,#양청초병설유치원,#은성유치원,#비봉유치원,#오창롯데캐슬,#오창롯데캐슬더하이스트,#자연유치원,#목령어린이집",artro_studio,2019-10-28 00:00:00,"Instagram의 아트로 스튜디오님: “이렇게나 예쁜 마블링도 만들고 거품놀이도 씐나고😝
.
.
#아트로스튜디오 #아트로 #로미💕 #문화예술교육 #예술이야기 #한국문화예술교육진흥원 #스토리텔링 #홈미술 #홈스쿨 #오창홈스쿨 #오창미술 #아동미술 #초등미술 #영어미술 #청주미술 #꼬마예술가…”",2019-10-31,한국문화예술교육진흥원,-
